Hs,Tide,Times,Tp,WD,WindDir,WindSpeed
0.88134,0.748,7.3662e+05,10.632,311.25,117,2
1.0072,0.789,7.3662e+05,11.76,310,81,1.8
1.0724,0.654,7.3662e+05,11.76,310.49,58,2
1.0013,0.367,7.3662e+05,11.706,310.57,42,1.6
0.95325,0.102,7.3662e+05,11.11,311.13,49,2.4
0.99572,-0.159,7.3662e+05,11.062,311.26,19,0.3
0.93785,-0.372,7.3662e+05,10.627,311.53,180,0
1.0154,-0.454,7.3662e+05,11.013,311.27,-138,0.9
0.9645,-0.341,7.3662e+05,10.627,311.87,-149,0.9
0.89863,-0.06,7.3662e+05,10.422,311.88,-169,1.2
0.9766,0.267,7.3662e+05,11.078,311.26,-176,1.7
0.90524,0.582,7.3662e+05,10.691,311.77,-173,0.7
0.93075,0.853,7.3662e+05,11.248,311.08,-173,1.4
1.0217,0.986,7.3662e+05,12.384,309.93,-164,1.4
0.89979,0.958,7.3662e+05,11.342,310.88,-140,1.8
0.9635,0.724,7.3662e+05,11.689,310.53,-138,1.9
1.0034,0.417,7.3662e+05,11.822,309.8,-114,3
1.1036,0.147,7.3662e+05,12.377,308.59,-116,2.8
1.1836,-0.124,7.3662e+05,12.438,309.72,-82,2.4
1.2441,-0.326,7.3662e+05,11.822,310.39,-37,2.6
1.1716,-0.38,7.3662e+05,12.377,308.59,0,3.8
1.373,-0.235,7.3662e+05,13.872,306.54,-14,4.3
1.8179,0.059,7.3662e+05,15.38,307.14,-23,3.2
1.6734,0.363,7.3662e+05,14.29,307.13,-5,4.6
1.7557,0.618,7.3662e+05,15.38,306.47,-13,2.9
1.7099,0.781,7.3662e+05,15.38,307.03,-7,2.7
1.3919,0.812,7.3662e+05,12.98,309.39,-13,2.4
1.4866,0.652,7.3662e+05,14.777,308.34,-29,2.3
1.3506,0.353,7.3662e+05,14.624,307.5,-39,2.6
1.3247,0.067,7.3662e+05,14.13,307.56,-42,2.4
1.3339,-0.199,7.3662e+05,13.89,308.2,-49,2.3
1.2895,-0.405,7.3662e+05,13.73,308.28,-58,1.6
1.4249,-0.464,7.3662e+05,14.29,308.14,-53,1.8
1.4647,-0.333,7.3662e+05,15.198,307.7,-61,1.6
1.4574,-0.037,7.3662e+05,14.29,308.45,-59,1.1
1.4503,0.29,7.3662e+05,14.29,308.25,-74,1.1
1.5552,0.621,7.3662e+05,14.926,307.43,-74,1
1.5403,0.86,7.3662e+05,14.381,308.56,-71,2.1
1.7304,0.955,7.3662e+05,15.38,307.03,-88,2.4
1.8492,0.891,7.3662e+05,15.38,306.93,-81,3.7
1.5493,0.61,7.3662e+05,15.38,307.93,-88,3.5
1.4838,0.327,7.3662e+05,15.38,307.69,-57,4.5
1.4018,0.044,7.3662e+05,15.38,307.67,-42,3.8
1.369,-0.215,7.3662e+05,15.38,307.54,-38,3.9
1.3358,-0.384,7.3662e+05,15.38,307.38,-30,4.05
1.3022,-0.41,7.3662e+05,15.38,307.22,-22,4.2
1.4109,-0.26,7.3662e+05,15.38,307.91,-8.5,4.3
1.2305,0.018,7.3662e+05,14.29,307.89,5,4.4
1.2403,0.301,7.3662e+05,14.381,308.44,0,4.6
1.3483,0.528,7.3662e+05,15.38,307.26,6,4.3
1.3376,0.672,7.3662e+05,15.335,306.77,-10,2.4
1.265,0.66,7.3662e+05,14.79,306.49,-33,2.9
1.2223,0.487,7.3662e+05,14.29,306.39,-36,2.8
1.3108,0.203,7.3662e+05,14.29,306.88,-34,2.9
1.344,-0.038,7.3662e+05,14.29,306.88,-31,2.5
1.3703,-0.29,7.3662e+05,14.29,307.01,-37,2.5
1.2452,-0.475,7.3662e+05,13.33,308.51,-47,2
1.3454,-0.502,7.3662e+05,14.29,308.03,-50,1.8
1.1922,-0.344,7.3662e+05,13.33,307.96,-43,2.1
1.2364,-0.04,7.3662e+05,14.21,308.41,-36,2.7
1.2143,0.285,7.3662e+05,13.49,308.6,-55,2.5
1.2562,0.59,7.3662e+05,14.13,308.54,-56,2.9
1.1998,0.798,7.3662e+05,14.13,308.71,-52,2.9
1.0691,0.878,7.3662e+05,13.703,308.97,-63,3.3
1.1056,0.795,7.3662e+05,14.29,308.4,-30,3.9
1.0464,0.549,7.3662e+05,14.29,307.14,-40,3.7
1.137,0.265,7.3662e+05,14.29,307.59,-37,3.7
1.0277,0.008,7.3662e+05,14.29,306.88,-23,4.4
1.0472,-0.226,7.3662e+05,14.21,306.61,-4,5.1
1.07,-0.382,7.3662e+05,13.49,308.23,-1,5.6
1.0613,-0.376,7.3662e+05,13.261,307.83,-9,4
0.97041,-0.255,7.3662e+05,12.638,309.55,0,3.1
1.0532,-0.014,7.3662e+05,14.13,308.58,11,3.1
1.0025,0.242,7.3662e+05,13.33,309.19,11,2.5
1.0535,0.45,7.3662e+05,13.33,309.17,12,2.4
0.85274,0.562,7.3662e+05,11.891,310.38,20,2.1
