Generation,Simulation,m,Cb,facAs,facSk,lsgrad,bedfric,wetslp,vegDensity,RMSE,Dune RMSE,Beach RMSE,BSS,Dune BSS,Beach BSS,BSS Label,Dune BSS Label,Beach BSS Label,Folder,Profile,Long
1,1,0.6292,0.6787,0.052,0.3398,0.0113,0.4427,0.6884,7.939,0.985,1.6853,0.7245,-1.0938,-21.9821,0.0355,Very Poor,Very Poor,Poor,run04122021115205_101034,1,False
1,2,1.2745,2.6265,0.9494,0.4429,0.047,0.4382,0.8529,9.7547,0.9159,1.4071,0.7532,-0.8104,-15.0203,-0.0422,Very Poor,Very Poor,Very Poor,run04122021115205_133240,1,False
1,3,3.277,0.5252,0.4093,0.3072,-0.0162,0.0565,0.3279,5.6651,8.3667,9.0908,8.1848,-150.0621,-667.6726,-122.0782,Very Poor,Very Poor,Very Poor,run04122021115205_164377,1,False
1,4,4.9784,1.4297,0.4678,0.4184,0.015,0.0397,0.5444,4.2685,0.7061,1.452,0.3395,-0.0759,-16.0595,0.7882,Very Poor,Very Poor,Good,run04122021115205_169470,1,False
1,5,4.8925,2.9053,0.617,0.9176,-0.0389,0.4656,0.1262,3.9962,11.7369,12.5287,11.5404,-296.2748,-1269.0498,-243.6829,Very Poor,Very Poor,Very Poor,run04122021115205_185895,1,False
1,6,2.4096,1.8881,0.2076,0.5264,0.0585,0.3401,0.6563,9.7711,1.2609,1.5357,1.1862,-2.4311,-18.0811,-1.585,Very Poor,Very Poor,Very Poor,run04122021115205_407287,1,False
1,7,2.5674,1.292,0.6528,0.1543,0.0148,0.0689,0.0647,6.417,,,,1.0,1.0,1.0,Excellent,Excellent,Excellent,run04122021115205_417901,1,False
1,8,1.3798,0.9673,0.9201,0.4811,0.0077,0.1092,0.1752,7.2795,2.8111,2.0877,2.9574,-16.0534,-34.2639,-15.0688,Very Poor,Very Poor,Very Poor,run04122021115205_420537,1,False
1,9,2.3554,2.4558,0.5886,0.2542,0.0269,0.4526,0.7172,0.9188,0.4801,0.5169,0.4709,0.5026,-1.1617,0.5926,Fair,Very Poor,Fair,run04122021115205_57705,1,False
1,10,2.8576,1.3958,0.7184,0.5695,0.0093,0.1424,0.8636,1.589,0.4312,0.9347,0.1491,0.5987,-6.0691,0.9592,Fair,Very Poor,Excellent,run04122021115205_633451,1,False
1,11,3.5109,0.0959,0.6413,0.2378,0.0659,0.3326,0.2922,8.1424,0.9385,0.8858,0.9506,-0.9008,-5.3487,-0.6603,Very Poor,Very Poor,Very Poor,run04122021115205_650726,1,False
1,12,1.7272,2.2509,0.297,0.6863,-0.0406,0.0123,0.4796,9.685,10.9815,11.7502,10.7904,-259.2406,-1116.1282,-212.9141,Very Poor,Very Poor,Very Poor,run04122021115205_668030,1,False
1,13,1.4649,0.8435,0.9815,0.0388,0.0583,0.4891,0.2845,1.1515,0.8493,1.169,0.7534,-0.5566,-10.0574,-0.0429,Very Poor,Very Poor,Very Poor,run04122021115205_689220,1,False
1,14,4.0855,2.2043,0.4197,0.9389,-0.0758,0.3518,0.9466,5.3861,13.1213,13.9459,12.9172,-370.5396,-1572.6252,-305.5504,Very Poor,Very Poor,Very Poor,run04122021115205_729796,1,False
1,15,2.7807,0.5091,0.9511,0.6664,-0.0282,0.2191,0.2305,5.6431,650.3657,3.0132,723.6587,-912781.4966,-72.4635,-962125.9542,Very Poor,Very Poor,Very Poor,run04122021115205_742012,1,False
1,16,2.4524,1.4397,0.9254,0.2878,0.0783,0.3517,0.3955,1.1679,1.0258,1.226,0.9721,-1.2709,-11.1606,-0.7362,Very Poor,Very Poor,Very Poor,run04122021115205_767632,1,False
1,17,0.6752,1.0595,0.3261,0.1799,-0.0906,0.2907,0.5787,0.6244,10.3533,11.2575,10.1261,-230.3177,-1024.4013,-187.3866,Very Poor,Very Poor,Very Poor,run04122021115205_770560,1,False
1,18,0.2552,2.1007,0.687,0.428,-0.0892,0.4753,0.4606,8.3074,12.0353,12.8805,11.8252,-311.584,-1341.3735,-255.9097,Very Poor,Very Poor,Very Poor,run04122021115205_810531,1,False
1,19,1.5563,0.722,0.5358,0.0951,-0.0104,0.2042,0.807,4.7553,7.4175,8.1528,7.2314,-117.7317,-536.8044,-95.0751,Very Poor,Very Poor,Very Poor,run04122021115205_816631,1,False
1,20,0.1518,1.6069,0.9501,0.1146,0.0896,0.0295,0.6438,5.8832,0.9982,1.2806,0.9183,-1.1504,-12.2687,-0.5493,Very Poor,Very Poor,Very Poor,run04122021115205_996445,1,False
2,1,1.678,0.6992,0.9848,0.0224,0.0647,0.0878,0.1577,1.3795,0.8352,1.1608,0.7367,-0.5052,-9.9031,0.0028,Very Poor,Very Poor,Poor,run04142021023515_134678,1,False
2,2,4.5734,2.381,0.6748,0.2513,-0.0972,0.4772,0.2271,4.807,11.4168,12.3632,11.1797,-280.2823,-1235.7103,-228.6283,Very Poor,Very Poor,Very Poor,run04142021023515_139159,1,False
2,3,2.1158,0.4593,0.6775,0.6028,-0.0367,0.2507,0.1873,2.0861,10.8522,11.6244,10.6601,-253.1494,-1092.3347,-207.7799,Very Poor,Very Poor,Very Poor,run04142021023515_212461,1,False
2,4,4.2865,1.7512,0.9468,0.131,0.0832,0.4308,0.7705,5.6552,1.1162,1.2636,1.0781,-1.6885,-11.9191,-1.1354,Very Poor,Very Poor,Very Poor,run04142021023515_287129,1,False
2,5,2.9971,0.1666,0.6974,0.4316,0.0206,0.1755,0.5812,9.4956,0.7332,0.7753,0.7228,-0.1601,-3.8636,0.0401,Very Poor,Very Poor,Poor,run04142021023515_41080,1,False
2,6,3.5435,0.4646,0.5482,0.3938,-0.0158,0.1085,0.7273,4.8983,8.8905,9.6495,8.7001,-169.5718,-752.3872,-138.0626,Very Poor,Very Poor,Very Poor,run04142021023515_451029,1,False
