Run,m,Cb,facAs,facSk,lsgrad,bedfriccoef,wetslp,beta,vegDensity,Dhigh Diff,Beach BSS,Dune BSS,BSS,RMSE,Score,Label,Color,Round,Growth Factor
1,0.915,0.627,0.831,0.606,-0.08,0.146,0.538,150,1.722,-14.488,-816.692,-244.424,-495.031,12.251,6,Extreme Change,firebrick,1,137.25
2,0.968,0.658,0.876,0.866,-0.003,0.402,0.214,150,1.936,-10.52,-375.053,-116.436,-229.69,8.355,6,Extreme Change,firebrick,1,145.2
3,0.924,1.292,0.868,0.625,-0.093,0.426,0.847,150,1.133,-14.889,-865.277,-258.925,-524.459,12.609,6,Extreme Change,firebrick,1,138.6
4,0.782,1.243,0.414,0.624,-0.066,0.356,0.125,150,1.518,-13.833,-742.115,-222.201,-449.881,11.68,6,Extreme Change,firebrick,1,117.3
5,0.142,0.597,0.759,0.656,-0.037,0.476,0.128,150,0.915,465.707,-29433.849,-28.895,-12905.899,62.494,6,Extreme Change,firebrick,1,21.3
6,0.443,1.266,0.736,0.249,-0.002,0.228,0.617,150,1.158,7913.507,-18021339.9,-487.033,-7892170.619,1545.336,6,Extreme Change,firebrick,1,66.45
7,0.779,0.776,0.644,0.624,-0.067,0.068,0.499,150,1.564,-14.112,-760.561,-227.811,-461.112,11.825,6,Extreme Change,firebrick,1,116.85
8,0.406,1.085,0.279,0.701,-0.049,0.258,0.659,150,1.94,-13.216,-682.769,-204.582,-413.989,11.206,6,Extreme Change,firebrick,1,60.9
9,0.963,1.047,0.211,0.219,-0.048,0.422,0.303,150,1.836,-10.968,-440.686,-132.952,-267.715,9.017,6,Extreme Change,firebrick,1,144.45
10,0.319,1.429,0.38,0.257,-0.05,0.312,0.479,150,1.721,-11.615,-499.981,-150.861,-303.747,9.603,6,Extreme Change,firebrick,1,47.85
11,0.848,1.085,0.54,0.834,-0.043,0.381,0.703,150,1.027,-13.508,-712.583,-213.743,-432.195,11.449,6,Extreme Change,firebrick,1,127.2
12,0.611,0.576,0.143,0.525,0.056,0.468,0.204,150,1.071,-1.73,-0.832,0.873,0.126,0.514,6,Extreme Change,firebrick,1,91.65
13,0.522,0.512,0.37,0.23,0.059,0.162,0.523,150,1.353,-1.701,-0.37,0.946,0.37,0.437,6,Extreme Change,firebrick,1,78.3
14,0.642,0.763,0.623,0.651,0.05,0.231,0.167,150,0.748,-1.725,-0.093,0.971,0.505,0.387,6,Extreme Change,firebrick,1,96.3
15,0.922,0.652,0.761,0.531,0.099,0.048,0.454,150,0.843,-1.449,0.773,0.833,0.807,0.242,6,Extreme Change,firebrick,1,138.3
16,0.966,0.505,0.72,0.754,0.074,0.051,0.42,150,0.66,-1.506,0.503,0.839,0.692,0.306,6,Extreme Change,firebrick,1,144.9
17,0.82,0.931,0.829,0.245,-0.047,0.081,0.209,150,0.89,-12.154,-544.238,-164.777,-330.95,10.022,6,Extreme Change,firebrick,1,123
18,0.622,1.05,0.216,0.782,0.024,0.182,0.511,150,1.804,-1.832,0.156,0.8,0.518,0.382,6,Extreme Change,firebrick,1,93.3
19,0.168,0.74,0.199,0.247,-0.052,0.214,0.14,150,1.103,-11.287,-466.508,-140.514,-283.273,9.275,6,Extreme Change,firebrick,1,25.2
20,0.95,0.991,0.491,0.37,0.08,0.191,0.189,150,1.854,-1.807,0.079,0.938,0.562,0.364,6,Extreme Change,firebrick,1,142.5
21,0.451,0.742,0.423,0.177,-0.074,0.472,0.865,150,1.67,-12.08,-531.632,-160.257,-322.889,9.9,6,Extreme Change,firebrick,1,67.65
22,0.154,0.735,0.383,0.757,-0.097,0.031,0.235,150,1.363,-15.168,-906.604,-270.706,-549.178,12.903,6,Extreme Change,firebrick,1,23.1
23,0.759,1.148,0.461,0.538,-0.041,0.375,0.251,150,1.474,-12.468,-594.367,-178.883,-360.832,10.464,6,Extreme Change,firebrick,1,113.85
24,0.265,0.868,0.6,0.724,-0.084,0.465,0.721,150,1.53,-14.775,-861.538,-257.467,-522.002,12.58,6,Extreme Change,firebrick,1,39.75
25,0.492,0.947,0.345,0.507,0.002,0.411,0.736,150,1.23,-1.717,0.638,0.973,0.827,0.229,6,Extreme Change,firebrick,1,73.8
26,0.441,1.312,0.526,0.381,0.088,0.439,0.54,150,1.466,-1.683,0.182,0.957,0.618,0.34,6,Extreme Change,firebrick,1,66.15
27,0.628,0.708,0.341,0.477,-0.054,0.424,0.256,150,1.434,,1,1,1,,5,Did Not Complete,khaki,1,94.2
28,0.254,0.728,0.449,0.349,0.085,0.221,0.248,150,0.839,-1.76,0.138,0.97,0.605,0.346,6,Extreme Change,firebrick,1,38.1
29,0.982,0.939,0.189,0.306,-0.018,0.301,0.31,150,1.857,-9.591,-327.649,-100.483,-199.964,7.798,6,Extreme Change,firebrick,1,147.3
30,0.74,0.722,0.194,0.337,-0.036,0.218,0.506,150,1.404,-10.991,-451.648,-136.508,-274.514,9.131,6,Extreme Change,firebrick,1,111
31,0.336,1.301,0.123,0.843,0.046,0.249,0.563,150,0.628,,1,1,1,,5,Did Not Complete,khaki,1,50.4
32,0.513,1.463,0.537,0.517,-0.054,0.25,0.599,150,0.856,,1,1,1,,5,Did Not Complete,khaki,1,76.95
33,0.456,0.867,0.89,0.13,0.077,0.458,0.737,150,1.519,-1.283,0.514,0.73,0.636,0.332,6,Extreme Change,firebrick,1,68.4
