BSS,Beach BSS,Cb,Color,Dhigh Diff,Dune BSS,Growth Factor,Label,RMSE,Round,Run,Score,Sim,Unnamed: 18,bedfriccoef,beta,facAs,facSk,lsgrad,m,vegDensity,wetslp
-6.577828127,-1.238600214,3.136,white,-0.43866593600000003,-11.91705604,856.8,Bad Result,,1,,0,1.0,,0.025,200,0.39799999999999996,0.614,0.008,4.284,,0.612
-201.4592264,-206.65579440000002,3.279,firebrick,3.419518903,-196.2626584,637.0,Extreme Change,,1,,6,2.0,,0.037000000000000005,200,0.9640000000000001,0.184,0.077,3.185,,0.857
-18.766832100000002,-14.89912043,1.024,white,-0.373732612,-22.63454378,845.0,Bad Result,,1,,0,3.0,,0.046,200,0.597,0.615,0.077,4.225,,0.728
-25.51284311,-5.514378357999999,2.9789999999999996,firebrick,2.1974830180000002,-45.51130787,217.4,Extreme Change,,1,,6,4.0,,0.032,200,0.943,0.48,0.059000000000000004,1.087,,0.703
-4.076544332,0.881325715,1.105,white,0.14785476,-9.034414378,726.2,Bad Result,,1,,0,5.0,,0.015,200,0.789,0.11199999999999999,0.004,3.6310000000000002,,0.355
-7.468832872999999,-3.456352145,2.553,white,-0.564956233,-11.4813136,864.0,Bad Result,,1,,0,6.0,,0.031,200,0.526,0.635,0.035,4.32,,0.18
-9.03006496,-5.791389349,2.83,white,-0.978417203,-12.26874057,816.4,Bad Result,,1,,0,7.0,,0.049,200,0.43799999999999994,0.373,0.052000000000000005,4.082,,0.47700000000000004
-5.734211543,-2.3902245719999997,1.395,white,-0.13731386199999998,-9.078198514,807.6,Bad Result,,1,,0,8.0,,0.037000000000000005,200,0.7709999999999999,0.467,0.01,4.038,,0.273
-6.017973227000001,-2.732782957,1.5730000000000002,white,0.009547904,-9.303163497,976.0,Bad Result,,1,,0,9.0,,0.038,200,0.708,0.221,0.02,4.88,,0.698
-6.628424947,-1.8745591940000002,3.094,white,-0.37645439799999997,-11.382290699999999,762.0,Bad Result,,1,,0,10.0,,0.024,200,0.96,0.405,0.012,3.81,,0.255
-5.93033762,-1.8604606,1.335,white,-0.145349547,-10.00021464,878.2,Bad Result,,1,,0,11.0,,0.021,200,0.862,0.233,0.027999999999999997,4.391,,0.8270000000000001
-8.26706416,-5.068005403,2.335,white,-0.7670124909999999,-11.46612292,394.2,Bad Result,,1,,0,12.0,,0.04,200,0.632,0.294,0.047,1.9709999999999999,,0.7559999999999999
-6.632047504,-2.4141799930000003,1.422,white,-0.113847301,-10.84991502,941.0,Bad Result,,1,,0,13.0,,0.013999999999999999,200,0.8240000000000001,0.523,0.045,4.705,,0.43
-6.6131476760000005,-2.7364113089999997,2.099,white,-0.377738521,-10.48988404,232.2,Bad Result,,1,,0,14.0,,0.036000000000000004,200,0.8390000000000001,0.625,0.046,1.161,,0.249
-5.212562898,-3.515822062,1.564,white,-0.301743075,-6.909303733,197.8,Bad Result,,1,,0,15.0,,0.019,200,0.42200000000000004,0.546,0.042,0.9890000000000001,,0.38
-7.519466545,-3.8360393360000002,1.359,white,-0.115447566,-11.20289375,682.2,Bad Result,,1,,0,16.0,,0.015,200,0.754,0.486,0.036000000000000004,3.411,,0.696
-41.30750698,-15.57929976,3.156,firebrick,2.868816569,-67.0357142,376.0,Extreme Change,,1,,6,17.0,,0.013999999999999999,200,0.415,0.564,0.08,1.88,,0.544
-5.710919142000001,-3.5787330689999997,0.927,white,-0.106058642,-7.843105215,551.4,Bad Result,,1,,0,18.0,,0.057999999999999996,200,0.9620000000000001,0.09699999999999999,0.065,2.7569999999999997,,0.715
-24.76511158,-10.49918593,1.7369999999999999,firebrick,2.426747039,-39.03103722,257.4,Extreme Change,,1,,6,19.0,,0.02,200,0.488,0.5489999999999999,0.073,1.287,,0.467
-5.634952731,-1.33510466,1.034,white,0.010253385,-9.934800803,404.6,Bad Result,,1,,0,20.0,,0.018000000000000002,200,0.40399999999999997,0.589,0.044000000000000004,2.023,,0.574
-5.267362856,-0.05725807,2.351,white,-0.234643629,-10.47746764,888.4,Bad Result,,1,,0,21.0,,0.023,200,0.5489999999999999,0.386,0.006,4.442,,0.446
-6.19683878,-3.7023401280000003,1.14,white,-0.02435095,-8.691337431000001,289.2,Bad Result,,1,,0,22.0,,0.062,200,0.474,0.331,0.07200000000000001,1.446,,0.191
-6.761197001,-3.495487587,1.984,white,-0.252437945,-10.02690642,591.0,Bad Result,,1,,0,23.0,,0.053,200,0.54,0.606,0.009000000000000001,2.955,,0.42200000000000004
-6.246241277,-3.713457103,1.3,white,-0.104135682,-8.779025451,508.0,Bad Result,,1,,0,24.0,,0.063,200,0.585,0.149,0.075,2.54,,0.25
-7.224913422999999,0.302423553,0.797,firebrick,-29.35054116,-14.752250400000001,660.2,Extreme Change,,1,,6,25.0,,0.012,200,0.47100000000000003,0.295,0.001,3.301,,0.7490000000000001
-7.242104006,-3.2144734460000004,2.426,white,-0.42527131799999995,-11.26973457,326.8,Bad Result,,1,,0,26.0,,0.026000000000000002,200,0.807,0.46299999999999997,0.044000000000000004,1.6340000000000001,,0.48100000000000004
