BSS,Beach BSS,Cb,Color,Dhigh Diff,Dune BSS,Growth Factor,Label,RMSE,Round,Run,Run.1,Score,Sim,bedfriccoef,beta,facAs,facSk,lsgrad,m,vegDensity,wetslp
-0.587069126,-1.759681667,0.13,white,0.049157097999999996,0.585543416,2629.4,Bad Result,,1,1.0,,0,1.0,0.023,200,0.627,0.73,0.027000000000000003,13.147,,0.39799999999999996
-0.36702437,-1.328559908,0.135,white,0.022457078,0.594511169,2093.8,Bad Result,,1,2.0,,0,2.0,0.025,200,0.735,0.639,0.066,10.469000000000001,,0.405
-0.28433268,-1.157331216,0.046,white,0.04565759,0.588665855,2600.6,Bad Result,,1,3.0,,0,3.0,0.025,200,0.665,0.73,0.045,13.003,,0.41
-0.348103279,-1.301651111,0.12300000000000001,white,0.028857186,0.605444553,1071.4,Bad Result,,1,4.0,,0,4.0,0.024,200,0.731,0.701,0.040999999999999995,5.357,,0.402
0.5912692039999999,0.595982069,0.049,orange,0.054057553,0.586556339,2311.0,Good Beach,,1,5.0,,2,5.0,0.023,200,0.7020000000000001,0.624,-0.013000000000000001,11.555,,0.39299999999999996
-0.10658133800000001,-0.79115195,0.106,white,0.066957429,0.577989273,2647.0,Bad Result,,1,6.0,,0,6.0,0.024,200,0.6509999999999999,0.7340000000000001,-0.040999999999999995,13.235,,0.401
0.620489481,0.6661052439999999,0.11699999999999999,orange,0.056257203,0.574873719,2531.0,Good Beach,,1,7.0,,2,7.0,0.024,200,0.634,0.679,0.006,12.655,,0.41100000000000003
-165.88284030000003,-328.2615768,0.06,firebrick,-4.041542098,-3.504103815,2509.4,Extreme Change,,1,8.0,,6,8.0,0.023,200,0.698,0.6990000000000001,-0.026000000000000002,12.547,,0.405
-0.364249261,-1.324137787,0.067,white,0.044557527,0.5956392660000001,2919.4,Bad Result,,1,9.0,,0,9.0,0.024,200,0.6859999999999999,0.647,0.040999999999999995,14.597000000000001,,0.405
-6.550646564,-3.574569908,0.128,firebrick,-1.627742335,-9.52672322,2398.2,Extreme Change,,1,10.0,,6,10.0,0.023,200,0.735,0.6859999999999999,-0.028999999999999998,11.991,,0.39799999999999996
-0.293314388,-1.182675781,0.057999999999999996,white,0.035857156,0.596047005,2681.4,Bad Result,,1,11.0,,0,11.0,0.024,200,0.716,0.649,0.061,13.407,,0.396
-0.32676264,-1.252461579,0.098,white,0.032557443,0.5989363,1502.2,Bad Result,,1,12.0,,0,12.0,0.024,200,0.672,0.662,0.05,7.511,,0.406
0.483805204,0.405804434,0.061,firebrick,0.108057454,0.561805974,2834.4,Extreme Change,,1,13.0,,6,13.0,0.024,200,0.708,0.71,-0.002,14.172,,0.392
-226.1148563,-442.2077592,0.08800000000000001,firebrick,-8.555482769,-10.021953300000002,1108.0,Extreme Change,,1,14.0,,6,14.0,0.024,200,0.711,0.732,-0.03,5.54,,0.40399999999999997
0.5505458639999999,0.532850224,0.067,orange,0.09725709199999999,0.568241504,1023.8,Good Beach,,1,15.0,,2,15.0,0.024,200,0.631,0.715,-0.01,5.119,,0.395
-0.29824770899999997,-1.193158913,0.059000000000000004,white,0.043057397000000004,0.596663495,2204.0,Bad Result,,1,16.0,,0,16.0,0.024,200,0.695,0.703,0.04,11.02,,0.39299999999999996
-0.27954813300000003,-1.141045983,0.13,white,0.040657475,0.581949717,1458.0,Bad Result,,1,17.0,,0,17.0,0.025,200,0.63,0.7190000000000001,0.016,7.29,,0.392
-0.282693846,-1.156442338,0.042,white,0.052257492999999995,0.591054647,1885.4,Bad Result,,1,18.0,,0,18.0,0.025,200,0.735,0.621,0.043,9.427,,0.41600000000000004
0.61285437,0.656421959,0.07400000000000001,white,0.095857575,0.56928678,1168.8,Bad Result,,1,19.0,,0,19.0,0.025,200,0.644,0.716,0.004,5.843999999999999,,0.395
-0.139097508,-0.871107473,0.046,white,0.04595752,0.5929124579999999,1527.6,Bad Result,,1,20.0,,0,20.0,0.024,200,0.628,0.7240000000000001,0.021,7.638,,0.39399999999999996
0.538152199,0.513218148,0.098,firebrick,0.100157216,0.563086249,2706.0,Extreme Change,,1,21.0,,6,21.0,0.023,200,0.6559999999999999,0.682,0.001,13.53,,0.397
0.11180052800000001,-0.36706415,0.05,white,0.055357410999999995,0.590665205,1246.6,Bad Result,,1,22.0,,0,22.0,0.025,200,0.6409999999999999,0.67,-0.039,6.233,,0.418
0.516501835,0.460051353,0.084,white,0.085557416,0.572952317,1981.8,Bad Result,,1,23.0,,0,23.0,0.023,200,0.654,0.728,-0.003,9.908999999999999,,0.413
0.5541281920000001,0.527085512,0.057,firebrick,0.077957585,0.5811708720000001,1779.4,Extreme Change,,1,24.0,,6,24.0,0.025,200,0.6629999999999999,0.632,-0.03,8.897,,0.419
-0.277545045,-1.138601247,0.037000000000000005,white,0.045909837,0.583511156,2150.4,Bad Result,,1,25.0,,0,25.0,0.023,200,0.6409999999999999,0.662,0.049,10.752,,0.391
0.607280818,0.644641559,0.10099999999999999,white,0.079757169,0.569920077,1338.0,Bad Result,,1,26.0,,0,26.0,0.024,200,0.705,0.698,0.006,6.69,,0.39899999999999997
0.511422367,0.462751025,0.051,firebrick,0.113457158,0.560093709,2489.4,Extreme Change,,1,27.0,,6,27.0,0.024,200,0.6990000000000001,0.642,-0.003,12.447000000000001,,0.413
0.585101429,0.603592268,0.132,white,0.075557187,0.56661059,1162.2,Bad Result,,1,28.0,,0,28.0,0.024,200,0.711,0.6779999999999999,0.005,5.811,,0.39899999999999997
-0.36340764,-1.325566104,0.086,white,0.035457089,0.598750824,2017.0,Bad Result,,1,29.0,,0,29.0,0.024,200,0.716,0.715,0.027999999999999997,10.085,,0.414
-0.094911741,-0.7548644520000001,0.069,firebrick,0.10605712199999999,0.565040969,2065.6,Extreme Change,,1,30.0,,6,30.0,0.024,200,0.732,0.725,0.018000000000000002,10.328,,0.408
-0.29768254899999996,-1.1915873559999999,0.063,white,0.035857156,0.596222259,1415.4,Bad Result,,1,31.0,,0,31.0,0.023,200,0.6709999999999999,0.648,0.051,7.077000000000001,,0.397
-0.292121684,-1.176440489,0.055,white,0.036657287999999996,0.5921971220000001,1341.4,Bad Result,,1,32.0,,0,32.0,0.024,200,0.667,0.657,0.06,6.7070000000000025,,0.396
0.617952517,0.667529802,0.138,orange,0.071957543,0.5683752320000001,2809.8,Good Beach,,1,33.0,,2,33.0,0.024,200,0.667,0.633,-0.016,14.049000000000001,,0.408
-101.2651829,-199.3401476,0.096,firebrick,-2.838942232,-3.1902181639999996,1524.4,Extreme Change,,1,34.0,,6,34.0,0.024,200,0.7020000000000001,0.647,-0.032,7.622000000000001,,0.4
-0.316962973,-1.23352428,0.086,white,0.035757497,0.599598335,1848.4,Bad Result,,1,35.0,,0,35.0,0.023,200,0.621,0.6509999999999999,0.046,9.242,,0.418
0.61495473,0.658938319,0.084,white,0.08725734,0.570971141,2460.6,Bad Result,,1,36.0,,0,36.0,0.025,200,0.685,0.648,0.006999999999999999,12.302999999999999,,0.406
-0.24161815,-1.078235752,0.055,white,0.044057324,0.594999452,2042.2,Bad Result,,1,37.0,,0,37.0,0.024,200,0.674,0.695,0.032,10.211,,0.401
-0.27668250899999997,-1.13457551,0.034,white,0.042517617,0.5812104920000001,2976.0,Bad Result,,1,38.0,,0,38.0,0.023,200,0.725,0.73,0.046,14.88,,0.39799999999999996
0.24712287300000002,-0.084645106,0.105,white,0.059157327,0.578890852,1670.8,Bad Result,,1,39.0,,0,39.0,0.024,200,0.628,0.7070000000000001,-0.033,8.354,,0.405
0.454460962,0.339788298,0.109,orange,0.08155722900000001,0.569133625,2558.2,Good Beach,,1,40.0,,2,40.0,0.024,200,0.727,0.727,-0.006999999999999999,12.790999999999999,,0.396
