Profile,xMHW,yMHW,xToe,yToe,xCrest,yCrest,xHeel,yHeel,Beach Width,Beach Slope,Dune Width,Dune Slope,Dune Volume,x2m,y2m,2016 Crest Index,2016 yCrest,2016 xToe,2016 xHeel,2016 Dune Volume,2016 xMHW,2016 Beach Volume,Lon,Lat,Heel Lon,Heel Lat,Orientation,2017 Heel Index,2017 Toe Index,2017 Dune Volume
1,332.1,0.50625,280.6,1.9348,269,4.0937,262.8,1.7005,51.5,0.02774,17.8,0.18611,19.585,280,1.9939,6296,3.8493,6240,6367,39.296,5943,46.044,-77.093,34.644,-77.094,34.644,3.4858,6371,6228,42.605
2,243.1,0.6382,214,1.6914,207.9,3.928,204.6,3.4766,29.1,0.036193,9.4,0.36665,10.447,212.6,1.9921,6888,2.1589,6740,6953,43.576,6374,NaN,-77.075,34.65,-77.075,34.65,3.5672,6960,6601,60.391
3,230.9,1.2124,213.5,1.6631,206,3.6202,203.2,3.2525,17.4,0.025901,10.3,0.26095,9.7325,211.1,1.9924,6895,2.0682,6717,6968,47.09,6364,NaN,-77.052,34.656,-77.052,34.656,3.5132,6976,6648,NaN
4,223.9,2.1082,211.6,1.9405,201.2,3.8666,199.7,3.692,12.3,0.013633,11.9,0.18519,10.591,223.9,2.1082,6887,1.9596,6792,6910,23.767,6442,NaN,-77.029,34.661,-77.029,34.662,3.4616,6919,6817,20.653
5,228.4,1.2332,211.5,2.0795,206.7,3.4965,204.4,3.7444,16.9,0.050078,7.1,0.29521,5.837,221.6,1.9995,6892,2.1543,6804,6913,22.481,6467,NaN,-77.009,34.666,-77.009,34.666,3.4325,6914,6781,27.345
6,219.3,1.504,205.4,2.126,201.5,3.401,199.3,3.6847,13.9,0.044744,6.1,0.32693,4.8904,207,1.9965,6899,1.8639,6812,6931,21.345,6476,NaN,-76.988,34.67,-76.988,34.67,3.4348,6952,6819,24.628
7,244.1,1.3542,226.5,2.3659,224.7,4.5111,221.8,3.6766,17.6,0.057481,4.7,1.1918,6.9329,229.3,1.9944,6759,4.4848,6621,6781,39.758,6321,NaN,-76.965,34.674,-76.965,34.674,3.377,6788,6672,32.782
8,231.2,1.6411,216.4,1.9108,210,3.3088,208.4,3.3809,14.8,0.018223,8,0.21844,5.6982,215.6,1.9996,6841,1.9538,6753,6886,26.825,6415,NaN,-76.946,34.677,-76.946,34.677,3.3374,6858,6765,17.8
9,237.7,1.1589,216.3,1.7734,210.2,4.5321,207.2,3.5697,21.4,0.028714,9.1,0.45226,11.911,214.7,1.9964,6892,4.1277,6740,6928,43.727,6456,NaN,-76.922,34.681,-76.922,34.681,3.347,6936,6798,37.043
10,246.6,0.71631,221.3,1.7311,214.7,3.3698,210.7,3.1471,25.3,0.04011,10.6,0.24829,10.034,219.5,1.995,6779,1.685,6725,6868,30.552,6390,NaN,-76.902,34.684,-76.902,34.684,3.3491,6831,6748,15.473
