Profile,xMHW,yMHW,xToe,yToe,xCrest,yCrest,xHeel,yHeel,Beach Width,Beach Slope,Dune Width,Dune Slope,Dune Volume,x2m,y2m,2016 Crest Index,2016 yCrest,2016 xToe,2016 xHeel,2016 Dune Volume,2016 xMHW,2016 Beach Volume
1,382.7,0.33947,283.9,1.8819,268.6,4.2931,259.3,1.2091,98.8,0.015611,24.6,0.15759,40.313,283.1,1.987,6296,3.8516,6240,6367,44.227,5943,52.833
2,259.2,0.89524,204.2,3.4701,196.2,4.5575,193.2,3.5361,55,0.046815,11,0.13593,5.681,233.1,1.9958,6888,3.5369,6740,6953,75.296,6374,NaN
3,256.4,0.67493,216.4,3.0318,204.5,4.0433,202.2,3.3298,40,0.058921,14.2,0.085001,9.8008,226.6,1.9947,6895,3.8291,6717,6968,77.908,6364,NaN
4,242.5,0.75641,208.1,2.7219,201.5,3.9892,197.7,3.5047,34.4,0.057135,10.4,0.19202,8.386,231.4,1.9942,6887,2.7152,6792,6910,32.442,6442,NaN
5,238.7,0.88436,211.1,2.981,205.1,4.3222,203,4.1062,27.6,0.075965,8.1,0.22353,6.3255,232.3,1.9529,6892,2.9947,6804,6913,31.949,6467,NaN
6,239.4,1.3548,205.8,2.7865,198.6,4.4048,198.2,4.3177,33.6,0.04261,7.6,0.22477,5.7195,231.2,1.9993,6899,2.7247,6812,6931,32.601,6476,NaN
7,256.2,0.90856,226.9,3.0927,224.5,4.4276,218.3,3.6756,29.3,0.074545,8.6,0.55621,6.5856,243.3,1.9821,6759,4.5151,6621,6781,50.386,6321,NaN
8,251.2,1.0489,224.5,2.7581,215.4,4.2982,211.7,3.7899,26.7,0.064015,12.8,0.16924,12.133,242.6,1.9888,6841,4.2781,6753,6886,48.966,6415,NaN
9,244.7,1.0805,220.7,3.0647,209.6,4.5302,206.4,3.5245,24,0.082677,14.3,0.13203,11.653,236.9,1.9947,6892,4.3184,6740,6928,67.829,6456,NaN
10,254.9,0.88202,208.4,3.6819,200.8,6.2258,195.1,6.1205,46.5,0.060213,13.3,0.33473,23.249,243.5,1.99,6779,3.7291,6725,6868,52.908,6390,NaN
11,256.2,1.0022,225.3,2.9748,212.8,4.989,210.4,3.9402,30.9,0.063838,14.9,0.16113,14.331,247.9,1.9834,6849,4.1969,6737,6894,60.565,6416,NaN
12,255.7,0.97649,219.7,2.5079,208.8,4.4655,208.2,4.5637,36,0.04254,11.5,0.1796,12.553,245.9,1.998,6839,3.2048,6555,6860,77.236,6402,NaN
13,252.9,1.0505,221.6,2.656,209.3,4.418,207.1,3.8645,31.3,0.051295,14.5,0.14325,15.732,245.7,1.9853,6897,4.1381,6784,6923,51.613,6492,69.727
14,254.2,0.85626,220.9,2.6487,205.5,4.4828,202.6,3.8767,33.3,0.053826,18.3,0.1191,18.421,242.5,1.9915,6944,4.4619,6772,6955,63.625,6473,63.589
15,260.9,0.83109,226,2.4649,215.8,4.8849,212.5,3.6504,34.9,0.046814,13.5,0.23725,16.325,251.4,1.9924,6845,4.9252,6785,6873,35.642,6493,71.558
16,259.2,0.80494,221.7,3.116,211.3,4.7875,202.8,4.1495,37.5,0.061628,18.9,0.16072,22.479,244.9,1.9997,6892,4.7568,6696,6970,101.89,6479,44.019
17,272.4,0.66526,226.4,2.39,206.1,4.6715,202.5,4.0686,46,0.037494,23.9,0.11239,31.517,255.7,1.9947,6855,3.6589,6813,6900,32.168,6683,34.249
18,247.2,0.33674,214.6,2.8323,206.3,4.8074,202.7,3.1752,32.6,0.07655,11.9,0.23796,10.271,226.6,1.9884,6933,4.6037,6907,6969,25.642,6698,52.49
19,302.4,0.33544,237.7,2.967,221.7,6.2307,205.1,3.3953,64.7,0.040674,32.6,0.20398,66.33,287.9,1.9966,6759,6.4131,6622,6792,82.383,5983,139.63
20,283,0.35477,245.8,2.7656,227.7,6.8656,221.8,3.4532,37.2,0.064807,24,0.22652,46.452,266.9,1.9988,6719,6.8278,6579,6777,99.695,5999,NaN
21,266.6,0.33948,228.8,2.9931,211.4,7.8042,199,4.1205,37.8,0.070202,29.8,0.2765,71.704,252.5,1.9924,6890,7.8156,6724,7003,154.22,5887,NaN
22,304.7,0.33343,223.5,2.3413,200.8,6.1286,189.4,2.9671,81.2,0.024727,34.1,0.15594,73.514,287,1.9673,7005,5.9507,6804,7090,137.7,5902,NaN
